LocInfo;Coord_X;Coord_y
0102f8100708a683;796150;2087810
0102f8100708d76d;796666;2088776
0102f8100708baa6;796691;2089333
0102f8100708bef4;797176;2088890
0102f8100708d4d0;803257;2088189
0102f8105109cc78;787840;2088944
0102f8105109e16d;788560;2089840
0102f8105109dc42;788770;2084870
0102f8105109e5f0;790303;2086907
0102f81051090117;790772;2087817
0102f8105109ddd2;791231;2084217
0102f81051090013;791280;2090750
0102f81051090066;791798;2088220
0102f8105109eb41;792417;2090525
0102f810041fcd2c;793843;2085072
0102f8105109f427;793973;2090565
0102f8105109f505;793973;2090565
0102f81051095339;793973;2090565
0102f810041fe744;794063;2087106
0102f810041f7910;794290;2086892
0102f810041f50cb;794885;2087165
0102f810041fc00c;795255;2088756
0102f8100708450a;796293;2086911
0102f8100708cba1;796375;2089076
0102f8100708a04b;796698;2089797
0102f81007085cf3;797176;2088890
0102f81007084862;798032;2087307
0102f8100068349a;798487;2081266
0102f810070800c6;802175;2091950
0102f810041f0132;793482;2089632
0102f810041f0784;793795;2086699
0102f810041fc7ae;794276;2087085
0102f810041f8455;795043;2086760
0102f810041fe078;795258;2086623
0102f810070832bd;795630;2087649
0102f8100708acd2;795685;2090270
0102f81007087901;795685;2090270
0102f8100708f957;795805;2084087
0102f8100708b9a6;797176;2088890
0102f8100708bce4;797615;2089568
0102f810041c15ff;797996;2089892
0102f81007083863;798026;2083798
0102f81007082605;801705;2086145
0102f8105109ec66;791950;2089553
0102f810041e5405;792146;2083768
0102f810041e13ea;793415;2081316
0102f810041e18a8;793830;2084114
0102f810041fded5;794048;2087488
0102f81007084d26;795207;2087741
0102f810041f8df9;795258;2086623
0102f81007082949;796150;2087810
0102f810070897b2;797162;2090048
0102f810070865d1;798151;2086971
0102f8100708420d;798536;2088086
0102f81007085596;799447;2085036
0102f81007089bc1;799490;2086940
0102f810951401db;802204;2081597
0102f81051090d14;789093;2090043
0102f810041e76ea;790696;2083544
0102f8105109f5ee;793143;2089185
0102f810041fbde8;793210;2086627
0102f810041f0130;793482;2089632
0102f810041f01eb;794367;2087652
0102f810041e9deb;794640;2083830
0102f810041f5125;794952;2086280
0102f81007082a11;796187;2086845
0102f81007082170;796698;2089797
0102f8100708c624;798163;2087929
0102f8100708ec3c;799134;2085231
0102f81007085f4b;800248;2086977
0102f81000688d5f;801331;2084211
0102f81007086852;803257;2088189
0102f810041c95b5;803500;2084400
0102f81051093fe5;791582;2087503
0102f81051091f65;791798;2088220
0102f81051095650;791950;2089553
0102f81051090da5;792148;2085306
0102f8105109f47a;792417;2090525
0102f810510638bc;793120;2091536
0102f810041f4de5;793843;2085072
0102f810041f1790;793900;2088719
0102f810041f6ab4;794290;2086892
0102f810041f3484;794367;2087652
0102f81007084f79;795207;2087741
0102f810070893bc;795630;2087649
0102f810041f613e;795686;2086304
0102f81007088e4b;796448;2085222
0102f81007084c7e;796601;2087024
0102f8100708cea3;798101;2086238
0102f810006873ca;798487;2081266
0102f8100708797c;798560;2085228
0102f81007080d12;798560;2085228
0102f810006878ab;800147;2084780
0102f81007089488;800248;2086977
0102f81007087863;800902;2090892
0102f8100708545f;802134;2085556
0102f81051075a08;787092;2084430
0102f8105109003b;789580;2090438
0102f8105109751d;789924;2084500
0102f8105109d802;792149;2090115
0102f81051090090;792149;2090115
0102f8105109a51d;792417;2090525
0102f81051090068;792858;2088191
0102f810041fcdf2;793026;2089567
