LocInfo, Coord_X, Coord_y
0002f81019031d65, 300860, 2254600
0002f8101903c0a5, 303837, 2254156
0002f81019035445, 304619, 2254974
8102f8100000ee36, 304862, 2253976
0002f81019031aa8, 303196, 2252304
0002f8101902c714, 308927, 2254072
0002f81050018f4b, 306445, 2252379
0002f81019031f63, 301476, 2252503
0002f81019025665, 305761, 2252247
0002f8101903dc44, 305804, 2253299
0002f8101903bd7a, 301315, 2253485
0002f81019036ccd, 307785, 2257005
8102f8100000d8d4, 303840, 2252514
0002f81019026166, 307318, 2250995
0002f81019031f89, 302255, 2253090
0002f8101902b840, 306407, 2253679
0002f8101902b7bd, 306785, 2252142
0002f8101903c2de, 304988, 2254759
0002f81019031fad, 306363, 2256255
0002f81019031fae, 306363, 2256255
0002f81019035d66, 306425, 2255375
0002f81019031ab9, 302837, 2254168
0002f81019031f93, 303732, 2256210
0002f81019036d1e, 308777, 2256824
0002f81019037d42, 307035, 2254886
0002f81019021a93, 309240, 2252540
8102f8100000d8fb, 300685, 2256660
0002f81019030566, 304862, 2253976
0002f810190267a3, 305960, 2252820
0002f8101903bd67, 304862, 2253976
0002f8101903b109, 307035, 2254886
0002f81019034580, 303058, 2252834
0002f81019031ab3, 302837, 2254168
8102f8100000d8ce, 304795, 2253398
0002f8101902bea4, 306450, 2252025
0002f81019035e66, 305426, 2255076
0002f8101902591c, 307090, 2253195
0002f81019031f8b, 302041, 2254590
0002f8101903c2e6, 305457, 2253609
0002f8101903c5c0, 302837, 2254168
0002f8101903bd5a, 304862, 2253976
8102f8100000d8f9, 303058, 2252834
0002f8101903f3bf, 302845, 2256254
0002f8101903bd9f, 304795, 2253398
0002f810190383c9, 304414, 2253355
0002f81019035965, 304795, 2253398
0002f81019036d20, 308777, 2256824
8102f8100000d8bc, 300860, 2254600
8102f8100000d8c3, 303837, 2254156
8102f8100000ddb6, 305784, 2251965
8102f8100000d8e1, 305988, 2254134
8102f8100000d903, 300374, 2253512
8102f8100000d9e9, 303105, 2251904
8102f8100000dcc9, 304414, 2253355
8102f8100000d8b1, 305457, 2253609
8102f8100000d8b4, 305166, 2253274
8102f8100000d9e7, 307796, 2255300
8102f8100000da90, 305484, 2253296
8102f8100000d8a6, 307785, 2257005
8102f8100000d8c8, 303530, 2253410
0102f81063049211, 304484, 2252192
0102f81063041ed7, 306407, 2253679
0102f8106304c79c, 307995, 2251441
0102f8106304503a, 302074, 2256019
0102f8106304b910, 303196, 2252304
0102f81063048a00, 303812, 2252714
0102f8106304870c, 303837, 2254156
0102f81063045c12, 305988, 2254134
0102f81063046c1b, 307796, 2255300
0102f8106304abf2, 301989, 2253909
0102f81063047811, 304619, 2254974
0102f8106304ad75, 304809, 2252303
0102f81063040d19, 305960, 2252820
0102f810630435f5, 307318, 2250995
0102f8106320dc2b, 311237, 2255912
0102f81063045291, 301989, 2253909
0102f810630449b8, 303840, 2252514
0102f8106304eac7, 306425, 2255375
0102f8106304775c, 307170, 2256160
0102f8106304f85f, 302074, 2256019
0102f81063042ebd, 303196, 2252304
0102f810630492be, 303732, 2256210
0102f8106304096b, 304619, 2254974
0102f8106304e0b8, 305960, 2252820
0102f810630490d4, 300685, 2256660
0102f8106304707b, 300860, 2254600
0102f8106304eb93, 301494, 2256919
0102f8106304b611, 302560, 2254110
0102f8106304b600, 302560, 2254110
0102f81063048502, 303530, 2253410
0102f8106304ff0f, 305013, 2255668
0102f8106304f376, 306296, 2251131
0102f81063040811, 307170, 2256160
0102f81063201e90, 308777, 2256824
8102f8100000d8f8, 305255, 2251095
8102f8100000d8d7, 304166, 2254734
8102f8100000d8fe, 309335, 2255389
0102f8106304d67c, 301989, 2253909
0102f8106304336f, 304414, 2253355
0102f81063044c0f, 305255, 2251095
0102f81063040a11, 305475, 2253560
0102f8106304b5cf, 307170, 2256160
8102f8100000de0b, 306445, 2252379
0102f81063043689, 300374, 2253512
0102f810630444db, 300860, 2254600
0102f81063045e54, 306300, 2253151
0102f81063047e05, 306407, 2253679
0102f81063047447, 310593, 2252788
0102f8106304f691, 302074, 2256019
0102f8106304a321, 307035, 2254886
0102f8106304ee2a, 310593, 2252788
0102f8106304e7dd, 300685, 2256660
0102f81063048710, 302845, 2256254
0102f81063048400, 303575, 2255840
0102f81063043c8e, 305557, 2256644
0102f81063200929, 307785, 2257005
0102f81063047c86, 302560, 2254110
0102f810630406d2, 303812, 2252714
0102f8106304f81e, 304785, 2254208
0102f8106304a390, 305255, 2251095
